name,price,color,size,description,category,image,sizes
Arctic_parka,99.99,Brown,M,"The Arctic Parka offers serious style and weather protection in one. Rugged, durable, and street-approved.",JACKETS,arctic_parka.jpg,"S,M,L,XL,XXL"
Black_and_yellow_t,29.99,Black,M,"The Black And Yellow T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,black_and_yellow_t.jpg,"S,M,L,XL,XXL"
Black_classic_trunks,59.99,Black,M,"Ride the waves or chill by the shore in the Black Classic Trunks. Quick-drying, durable, and styled to stand out.",TRUNKS,black_classic_trunks.jpg,"S,M,L,XL,XXL"
Black_knit_sweater,19.99,Black,M,"The Black Knit Sweater is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,black_knit_sweater.jpg,"S,M,L,XL,XXL"
Brown_hoodie,19.99,Brown,M,"The Brown Hoodie is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,brown_hoodie.jpg,"S,M,L,XL,XXL"
Brown_hoodie_two,19.99,Brown,M,"The Brown Hoodie Two is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,brown_hoodie_two.jpg,"S,M,L,XL,XXL"
Chillout_fleece_suit,69.99,Grey,M,"Stay toasty in the Chillout Fleece Suit, crafted from ultra-soft fleece for chill days and colder nights.",FLEECE,chillout_fleece_suit.jpg,"S,M,L,XL,XXL"
Classic_black_t,29.99,Black,M,"The Classic Black T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,classic_black_t.jpg,"S,M,L,XL,XXL"
Classic_white_t,29.99,Black,M,"The Classic White T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,classic_white_t.jpg,"S,M,L,XL,XXL"
Cobles_t,29.99,White,M,"The Cobles T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,cobles_t.jpg,"S,M,L,XL,XXL"
Comfy_cush_pants,89.99,Brown,M,"The Comfy Cush Pants are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,comfy_cush_pants.jpg,"S,M,L,XL,XXL"
Deus_t,29.99,White,M,"The Deus T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,deus_t.jpg,"S,M,L,XL,XXL"
Distressed_baggy_pants,89.99,Blue,M,"The Distressed Baggy Pants are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,distressed_baggy_pants.jpg,"S,M,L,XL,XXL"
Dusty_walk_shorts,59.99,Grey,M,The Dusty Walk Shorts bring skate park vibes and casual comfort together. Lightweight and versatile for everyday wear.,WALK SHORTS,dusty_walk_shorts.jpg,"S,M,L,XL,XXL"
Get_lost_t,29.99,White,M,"The Get Lost T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,get_lost_t.jpg,"S,M,L,XL,XXL"
Girls_basic_black_jeans,89.99,Black,M,"The Girls Basic Black Jeans are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,girls_basic_black_jeans.jpg,"S,M,L,XL,XXL"
Girls_disney_jeans,89.99,Blue,M,"The Girls Disney Jeans are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,girls_disney_jeans.jpg,"S,M,L,XL,XXL"
Girls_grey_basic_shorts,59.99,Grey,M,The Girls Grey Basic Shorts bring skate park vibes and casual comfort together. Lightweight and versatile for everyday wear.,WALK SHORTS,girls_grey_basic_shorts.jpg,"S,M,L,XL,XXL"
Girls_high_waist_shorts,59.99,Blue,M,The Girls High Waist Shorts bring skate park vibes and casual comfort together. Lightweight and versatile for everyday wear.,WALK SHORTS,girls_high_waist_shorts.jpg,"S,M,L,XL,XXL"
Girls_italy_jeans,89.99,Blue,M,"The Girls Italy Jeans are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,girls_italy_jeans.jpg,"S,M,L,XL,XXL"
Girls_red_polar_fleece,69.99,Red,M,"Stay toasty in the Girls Red Polar Fleece, crafted from ultra-soft fleece for chill days and colder nights.",FLEECE,girls_red_polar_fleece.jpg,"S,M,L,XL,XXL"
Girls_rugged_shirt,49.99,Brown,M,The Girls Rugged Shirt is a relaxed button-up with a clean finish — ideal for layering or rocking solo.,SHIRTS,girls_rugged_shirt.jpg,"S,M,L,XL,XXL"
Girls_sherpa_fleece,69.99,Brown,M,"Stay toasty in the Girls Sherpa Fleece, crafted from ultra-soft fleece for chill days and colder nights.",FLEECE,girls_sherpa_fleece.jpg,"S,M,L,XL,XXL"
Girls_smiley_jeans,89.99,Blue,M,"The Girls Smiley Jeans are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,girls_smiley_jeans.jpg,"S,M,L,XL,XXL"
Girls_tie_dye_sweater,19.99,Tie-dye,M,"The Girls Tie Dye Sweater is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,girls_tie_dye_sweater.jpg,"S,M,L,XL,XXL"
Gloomy_girls_hoodie,19.99,Black,M,"The Gloomy Girls Hoodie is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,gloomy_girls_hoodie.jpg,"S,M,L,XL,XXL"
Grey_shirt,49.99,Grey,M,The Grey Shirt is a relaxed button-up with a clean finish — ideal for layering or rocking solo.,SHIRTS,grey_shirt.jpg,"S,M,L,XL,XXL"
Hardly_t,29.99,Orange,M,"The Hardly T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,hardly_t.jpg,"S,M,L,XL,XXL"
Honolulu_bikini,19.99,Pink,M,"The Honolulu Bikini is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",BIKINI,honolulu_bikini.jpg,"S,M,L,XL,XXL"
Jeans_shirt,89.99,Blue,M,"The Jeans Shirt are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,jeans_shirt.jpg,"S,M,L,XL,XXL"
Linen_shirt,49.99,Blue,M,The Linen Shirt is a relaxed button-up with a clean finish — ideal for layering or rocking solo.,SHIRTS,linen_shirt.jpg,"S,M,L,XL,XXL"
Missmatch_hoodie,19.99,Mixed,M,"The Missmatch Hoodie is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,missmatch_hoodie.jpg,"S,M,L,XL,XXL"
Missmatch_jacket,99.99,Yellow,M,"The Missmatch Jacket offers serious style and weather protection in one. Rugged, durable, and street-approved.",JACKETS,missmatch_jacket.jpg,"S,M,L,XL,XXL"
Nature_bikini,29.99,Black,M,Sun-soaked style meets comfort with the Nature Bikini. Flattering cut and secure fit for beach days or poolside lounging.,BIKINIS,nature_bikini.jpg,"S,M,L,XL,XXL"
Picasso_pants,89.99,White,M,"The Picasso Pants are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,picasso_pants.jpg,"S,M,L,XL,XXL"
Regrets_girls_t,29.99,White,M,"The Regrets Girls T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,regrets_girls_t.jpg,"S,M,L,XL,XXL"
Rio_bikini,29.99,Black,M,Sun-soaked style meets comfort with the Rio Bikini. Flattering cut and secure fit for beach days or poolside lounging.,BIKINIS,rio_bikini.jpg,"S,M,L,XL,XXL"
Savage_bikini,29.99,Zebra,M,Sun-soaked style meets comfort with the Savage Bikini. Flattering cut and secure fit for beach days or poolside lounging.,BIKINIS,savage_bikini.jpg,"S,M,L,XL,XXL"
Shred_pants,89.99,Blue,M,"The Shred Pants are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,shred_pants.jpg,"S,M,L,XL,XXL"
Skull_hoodie,59.99,Orange,M,"Layer up with the Skull Hoodie, featuring a warm, breathable knit and a laid-back vibe. Cozy, stylish, and built to last.",SWEATERS,skull_hoodie.jpg,"S,M,L,XL,XXL"
Sonora_hoodie,59.99,Sand,M,"Layer up with the Sonora Hoodie, featuring a warm, breathable knit and a laid-back vibe. Cozy, stylish, and built to last.",SWEATERS,sonora_hoodie.jpg,"S,M,L,XL,XXL"
Sonora_sweater,59.99,Sand,M,"Layer up with the Sonora Sweater, featuring a warm, breathable knit and a laid-back vibe. Cozy, stylish, and built to last.",SWEATERS,sonora_sweater.jpg,"S,M,L,XL,XXL"
St. Patrick Hat,39.99,Green / orange,M,"Top off your look with the St. Patrick Hat, a stylish essential to shade you from the sun or elevate your outfit effortlessly.",HEADWEAR,st._patrick_hat.jpg,One Size
Sungaze_beani,19.99,Yellow,M,"Top off your look with the Sungaze Beani, a stylish essential to shade you from the sun or elevate your outfit effortlessly.",Headwear,sungaze_beani.jpg,One Size
Thanks_hoodie,19.99,Grey,M,"The Thanks Hoodie is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",Sweater,thanks_hoodie.jpg,"S,M,L,XL,XXL"
Tie_dye_t,29.99,Tie-dye,M,"The Tie Dye T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,tie_dye_t.jpg,"S,M,L,XL,XXL"
Toasty_shorts,59.99,Brown,M,The Toasty Shorts bring skate park vibes and casual comfort together. Lightweight and versatile for everyday wear.,WALK SHORTS,toasty_shorts.jpg,"S,M,L,XL,XXL"
Vintage_shirt,49.99,Mixed,M,The Vintage Shirt is a relaxed button-up with a clean finish — ideal for layering or rocking solo.,SHIRTS,vintage_shirt.jpg,"S,M,L,XL,XXL"
Vintage_shirt_two,49.99,Mixed,M,The Vintage Shirt Two is a relaxed button-up with a clean finish — ideal for layering or rocking solo.,SHIRTS,vintage_shirt_two.jpg,"S,M,L,XL,XXL"
Who_hoodie,19.99,Mixed,M,"The Who Hoodie is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,who_hoodie.jpg,"S,M,L,XL,XXL"
Yikes_grey_hoodie,19.99,Grey,M,"The Yikes Grey Hoodie is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,yikes_grey_hoodie.jpg,"S,M,L,XL,XXL"
